Initial cost = 10.7123
Final cost = 2.05627

# x  exact  network
-1 1 0.753202
-0.9 0.81 0.922455
-0.8 0.64 0.609621
-0.7 0.49 0.284719
-0.6 0.36 0.155189
-0.5 0.25 0.0520904
-0.4 0.16 -0.146839
-0.3 0.09 -0.158052
-0.2 0.04 -0.211224
-0.1 0.01 -0.191567
-1.38778e-16 1.92593e-32 -0.10879
0.1 0.01 -0.124889
0.2 0.04 -0.155683
0.3 0.09 -0.169931
0.4 0.16 -0.203253
0.5 0.25 -0.00183684
0.6 0.36 0.16677
0.7 0.49 0.355512
0.8 0.64 0.604386
0.9 0.81 0.88076
1 1 0.778324
1.1 1.21 -0.812428
1.2 1.44 -1.40805
1.3 1.69 -0.458385
1.4 1.96 0.126217
1.5 2.25 0.184916
1.6 2.56 0.209308
1.7 2.89 0.1822
1.8 3.24 0.0845563
1.9 3.61 -0.00024796
2 4 -0.0360035
2.1 4.41 -0.0347824
2.2 4.84 -0.0193349
2.3 5.29 -0.0054843
2.4 5.76 0.0014501
2.5 6.25 0.00287906
2.6 6.76 0.0019428
2.7 7.29 0.000778008
2.8 7.84 0.000118855
2.9 8.41 -8.8896e-05
3 9 -8.78904e-05
3.1 9.61 -4.2537e-05
3.2 10.24 -1.19616e-05
3.3 10.89 -3.71069e-07
3.4 11.56 1.66405e-06
3.5 12.25 1.03839e-06
3.6 12.96 3.64282e-07
3.7 13.69 6.8028e-08
3.8 14.44 -7.13135e-09
3.9 15.21 -1.1172e-08
4 16 -4.78819e-09
4.1 16.81 -1.21338e-09
4.2 17.64 -1.31393e-10
4.3 18.49 4.23717e-11
4.4 19.36 2.82979e-11
4.5 20.25 8.6463e-12
4.6 21.16 1.55284e-12
4.7 22.09 5.85226e-14
4.8 23.04 -6.83564e-14
4.9 24.01 -2.76364e-14
5 25 -6.11171e-15
