# r num1 ana1 num2 ana2 num3 ana3
0.05 0.0950663 0.0951229 0.0397224 0.0336204 0.0482599 0.0182995
0.1 0.180863 0.180967 0.0754949 0.063899 0.0916717 0.0347739
0.15 0.258069 0.258212 0.107535 0.0910219 0.130458 0.0495189
0.2 0.327318 0.327492 0.136052 0.115167 0.164836 0.0626267
0.25 0.389201 0.3894 0.161244 0.136504 0.195018 0.074186
0.3 0.444272 0.444491 0.183302 0.155196 0.22121 0.0842818
0.35 0.493049 0.493282 0.202408 0.171398 0.243615 0.0929962
0.4 0.536015 0.536256 0.218737 0.185258 0.262428 0.100408
0.45 0.573619 0.573865 0.232455 0.196917 0.27784 0.106591
0.5 0.606283 0.606531 0.243721 0.206511 0.290039 0.11162
0.55 0.634399 0.634645 0.252688 0.214168 0.299204 0.115564
0.6 0.658332 0.658574 0.259499 0.220012 0.305513 0.118489
0.65 0.678425 0.67866 0.264295 0.224159 0.309136 0.120459
0.7 0.694993 0.695219 0.267207 0.226722 0.31024 0.121536
0.75 0.708334 0.70855 0.268361 0.227806 0.308986 0.121778
0.8 0.718722 0.718926 0.267877 0.227514 0.305531 0.121242
0.85 0.726414 0.726605 0.265869 0.225942 0.300027 0.119981
0.9 0.731648 0.731825 0.262448 0.223181 0.29262 0.118048
0.95 0.734645 0.734808 0.257717 0.21932 0.283455 0.115492
1 0.735611 0.735759 0.251775 0.214441 0.272667 0.11236
1.05 0.734737 0.734869 0.244715 0.208624 0.260392 0.108697
1.1 0.7322 0.732316 0.236629 0.201943 0.246758 0.104547
1.15 0.728164 0.728265 0.2276 0.19447 0.23189 0.09995
1.2 0.722781 0.722866 0.21771 0.186273 0.215907 0.0949463
1.25 0.716193 0.716262 0.207036 0.177416 0.198926 0.0895732
1.3 0.708529 0.708583 0.19565 0.16796 0.181058 0.0838666
1.35 0.69991 0.699949 0.183622 0.157962 0.162411 0.0778605
1.4 0.690448 0.690471 0.171018 0.147478 0.143089 0.0715876
1.45 0.680244 0.680254 0.157899 0.13656 0.12319 0.0650787
1.5 0.669395 0.66939 0.144325 0.125255 0.10281 0.0583634
1.55 0.657987 0.657969 0.130351 0.113611 0.0820401 0.0514697
1.6 0.6461 0.646069 0.116031 0.101672 0.0609682 0.0444241
1.65 0.633808 0.633765 0.101413 0.0894775 0.0396779 0.0372519
1.7 0.62118 0.621124 0.0865444 0.0770681 0.0182492 0.0299771
1.75 0.608276 0.608209 0.0714705 0.0644801 -0.00324151 0.0226223
1.8 0.595154 0.595076 0.0562328 0.0517479 -0.0247215 0.0152091
1.85 0.581866 0.581778 0.0408705 0.0389041 -0.0461214 0.00775778
