# z cos(z) linterp(z) linteg(z) qspline(z) qderiv(z) qinteg(z)
0.00000000 1.00000000 1.00000000 0.00000000 1.00000000 0.00000000 0.00000000
0.02000000 0.99980001 0.99950010 0.01999500 1.00000000 0.00000000 0.02000000
0.04000000 0.99920011 0.99900021 0.03998000 1.00000000 0.00000000 0.04000000
0.06000000 0.99820054 0.99800104 0.05995251 0.99875026 0.00000000 0.05998750
0.08000000 0.99680171 0.99650260 0.07989755 0.99875026 0.00000000 0.07996251
0.10000000 0.99500417 0.99500417 0.09981262 0.99875026 0.00000000 0.09993751
0.12000000 0.99280864 0.99251093 0.11968777 0.99500417 0.00000000 0.11983760
0.14000000 0.99021600 0.99001770 0.13951305 0.99500417 0.00000000 0.13973768
0.16000000 0.98722728 0.98703018 0.15928600 0.98877108 0.00000000 0.15957543
0.18000000 0.98384369 0.98354838 0.17899179 0.98877108 0.00000000 0.17935085
0.20000000 0.98006658 0.98006658 0.19862794 0.98877108 0.00000000 0.19912628
0.22000000 0.97589745 0.97560492 0.21818465 0.98006658 0.00000000 0.21872761
0.24000000 0.97133797 0.97114325 0.23765214 0.98006658 0.00000000 0.23832894
0.26000000 0.96638998 0.96619724 0.25702796 0.96891242 0.00000000 0.25781873
0.28000000 0.96105544 0.96076686 0.27629760 0.96891242 0.00000000 0.27719698
0.30000000 0.95533649 0.95533649 0.29545864 0.96891242 0.00000000 0.29657523
0.32000000 0.94923542 0.94895098 0.31450151 0.95533649 0.00000000 0.31568195
0.34000000 0.94275467 0.94256547 0.33341668 0.95533649 0.00000000 0.33478868
0.36000000 0.93589682 0.93571037 0.35220178 0.93937271 0.00000000 0.35373578
0.38000000 0.92866464 0.92838568 0.37084274 0.93937271 0.00000000 0.37252323
0.40000000 0.92106099 0.92106099 0.38933721 0.92106099 0.00000000 0.39131069
0.42000000 0.91308894 0.91281544 0.40767597 0.92106099 0.00000000 0.40973191
0.44000000 0.90475166 0.90456988 0.42584983 0.92106099 0.00000000 0.42815313
0.46000000 0.89605250 0.89587419 0.44385652 0.90044710 0.00000000 0.44636821
0.48000000 0.88699492 0.88672838 0.46168254 0.90044710 0.00000000 0.46437715
0.50000000 0.87758256 0.87758256 0.47932565 0.87758256 0.00000000 0.48238609
0.52000000 0.86781918 0.86755935 0.49677707 0.87758256 0.00000000 0.49993774
0.54000000 0.85770868 0.85753613 0.51402803 0.87758256 0.00000000 0.51748939
0.56000000 0.84725511 0.84708674 0.53107639 0.85252452 0.00000000 0.53479046
0.58000000 0.83646265 0.83621118 0.54790937 0.85252452 0.00000000 0.55184095
0.60000000 0.82533561 0.82533561 0.56452483 0.82533561 0.00000000 0.56889144
0.62000000 0.81387846 0.81363489 0.58091454 0.82533561 0.00000000 0.58539816
0.64000000 0.80209576 0.80193416 0.59707023 0.82533561 0.00000000 0.60190487
0.66000000 0.78999223 0.78983548 0.61298992 0.79608380 0.00000000 0.61811906
0.68000000 0.77757272 0.77733883 0.62866166 0.79608380 0.00000000 0.63404074
0.70000000 0.76484219 0.76484219 0.64408347 0.76484219 0.00000000 0.64996241
0.72000000 0.75180573 0.75158086 0.65924770 0.76484219 0.00000000 0.66525926
0.74000000 0.73846856 0.73831953 0.67414670 0.76484219 0.00000000 0.68055610
0.76000000 0.72483601 0.72469244 0.68877865 0.73168887 0.00000000 0.69552141
0.78000000 0.71091354 0.71069957 0.70313257 0.73168887 0.00000000 0.71015519
0.80000000 0.69670671 0.69670671 0.71720664 0.69670671 0.00000000 0.72478897
0.82000000 0.68222121 0.68201728 0.73099388 0.69670671 0.00000000 0.73872310
0.84000000 0.66746283 0.66732786 0.74448733 0.69670671 0.00000000 0.75265724
0.86000000 0.65243747 0.65230851 0.75768534 0.65998315 0.00000000 0.76622413
0.88000000 0.63715114 0.63695924 0.77057802 0.65998315 0.00000000 0.77942380
0.90000000 0.62160997 0.62160997 0.78316371 0.62160997 0.00000000 0.79262346
0.92000000 0.60582016 0.60563922 0.79543620 0.62160997 0.00000000 0.80505566
0.94000000 0.58978803 0.58966847 0.80738928 0.62160997 0.00000000 0.81748786
0.96000000 0.57351999 0.57340693 0.81902149 0.58168309 0.00000000 0.82952079
0.98000000 0.55702255 0.55685462 0.83032410 0.58168309 0.00000000 0.84115445
1.00000000 0.54030231 0.54030231 0.84129567 0.54030231 0.00000000 0.85278811
1.02000000 0.52336595 0.52320980 0.85193079 0.54030231 0.00000000 0.86359416
1.04000000 0.50622026 0.50611730 0.86222406 0.54030231 0.00000000 0.87440021
1.06000000 0.48887208 0.48877606 0.87217424 0.49757105 0.00000000 0.88477894
1.08000000 0.47132836 0.47118609 0.88177386 0.49757105 0.00000000 0.89473036
1.10000000 0.45359612 0.45359612 0.89102168 0.45359612 0.00000000 0.90468178
1.12000000 0.43568245 0.43555265 0.89991317 0.45359612 0.00000000 0.91375370
1.14000000 0.41759450 0.41750918 0.90844379 0.45359612 0.00000000 0.92282563
1.16000000 0.39933953 0.39926150 0.91661252 0.40848744 0.00000000 0.93144646
1.18000000 0.38092482 0.38080963 0.92441323 0.40848744 0.00000000 0.93961621
1.20000000 0.36235775 0.36235775 0.93184490 0.36235775 0.00000000 0.94778596
1.22000000 0.34364575 0.34354360 0.93890392 0.36235775 0.00000000 0.95503311
1.24000000 0.32479628 0.32472944 0.94558665 0.36235775 0.00000000 0.96228027
1.26000000 0.30581691 0.30575766 0.95189231 0.31532236 0.00000000 0.96905707
1.28000000 0.28671521 0.28662824 0.95781617 0.31532236 0.00000000 0.97536352
1.30000000 0.26749883 0.26749883 0.96335744 0.26749883 0.00000000 0.98166997
1.32000000 0.24817545 0.24810197 0.96851344 0.26749883 0.00000000 0.98701994
1.34000000 0.22875281 0.22870512 0.97328151 0.26749883 0.00000000 0.99236992
1.36000000 0.20923867 0.20919878 0.97766110 0.21900669 0.00000000 0.99723497
1.38000000 0.18964083 0.18958296 0.98164892 0.21900669 0.00000000 1.00161511
1.40000000 0.16996714 0.16996714 0.98524442 0.16996714 0.00000000 1.00599524
1.42000000 0.15022547 0.15018139 0.98844590 0.16996714 0.00000000 1.00939458
1.44000000 0.13042371 0.13039564 0.99125168 0.16996714 0.00000000 1.01279393
1.46000000 0.11056978 0.11054966 0.99366143 0.12050277 0.00000000 1.01569863
1.48000000 0.09067162 0.09064343 0.99567336 0.12050277 0.00000000 1.01810868
1.50000000 0.07073720 0.07073720 0.99728717 0.07073720 0.00000000 1.02051874
1.52000000 0.05077448 0.05076025 0.99850214 0.07073720 0.00000000 1.02193348
1.54000000 0.03079146 0.03078330 0.99931758 0.07073720 0.00000000 1.02334822
1.56000000 0.01079612 0.01079596 0.99973342 0.02079483 0.00000000 1.02426354
1.58000000 -0.00920354 -0.00920178 0.99974936 0.02079483 0.00000000 1.02467944
1.60000000 -0.02919952 -0.02919952 0.99936535 -0.02919952 0.00000000 1.02509534
1.62000000 -0.04918382 -0.04916807 0.99858167 -0.02919952 0.00000000 1.02451135
1.64000000 -0.06914845 -0.06913662 0.99739863 -0.02919952 0.00000000 1.02392736
1.66000000 -0.08908542 -0.08906561 0.99581641 -0.07912089 0.00000000 1.02284415
1.68000000 -0.10898675 -0.10895505 0.99383620 -0.07912089 0.00000000 1.02126174
1.70000000 -0.12884449 -0.12884449 0.99145821 -0.12884449 0.00000000 1.01967932
1.72000000 -0.14865070 -0.14860512 0.98868371 -0.12884449 0.00000000 1.01710243
1.74000000 -0.16839745 -0.16836574 0.98551400 -0.12884449 0.00000000 1.01452554
1.76000000 -0.18807684 -0.18803726 0.98194952 -0.17824606 0.00000000 1.01145463
1.78000000 -0.20768100 -0.20761968 0.97799296 -0.17824606 0.00000000 1.00788971
1.80000000 -0.22720209 -0.22720209 0.97364474 -0.22720209 0.00000000 1.00432479
1.82000000 -0.24663231 -0.24655736 0.96890714 -0.22720209 0.00000000 0.99978075
1.84000000 -0.26596388 -0.26591262 0.96378244 -0.22720209 0.00000000 0.99523671
1.86000000 -0.28518906 -0.28513011 0.95827133 -0.27559025 0.00000000 0.99020878
1.88000000 -0.30430017 -0.30420984 0.95237793 -0.27559025 0.00000000 0.98469698
1.90000000 -0.32328957 -0.32328957 0.94610293 -0.32328957 0.00000000 0.97918517
1.92000000 -0.34214965 -0.34204607 0.93944958 -0.32328957 0.00000000 0.97271938
1.94000000 -0.36087288 -0.36080258 0.93242109 -0.32328957 0.00000000 0.96625359
1.96000000 -0.37945176 -0.37937403 0.92501840 -0.37018083 0.00000000 0.95931889
1.98000000 -0.39787887 -0.39776043 0.91724705 -0.37018083 0.00000000 0.95191527
2.00000000 -0.41614684 -0.41614684 0.90910798 -0.41614684 0.00000000 0.94451165
